,id,title,genres,popularity,production_companies,release_date,budget,revenue,runtime,vote_average,vote_count,month,year,day_of_week,weighted_vote,popularity_category
0,76600,Avatar: The Way of Water,Science Fiction,9366.788,20th Century Studios,2022-12-14,350000000.0,2312335665.0,192.0,7.751,6748.0,12,2022,2,7.589538977800723,High
1,505642,Black Panther: Wakanda Forever,Action,2525.408,Marvel Studios,2022-11-09,250000000.0,858535561.0,162.0,7.338,3922.0,11,2022,2,7.167744006501422,High
2,315162,Puss in Boots: The Last Wish,Animation,2078.28,DreamWorks Animation,2022-12-07,90000000.0,463087568.0,103.0,8.363,4671.0,12,2022,2,8.034486510315642,High
3,937278,A Man Called Otto,Comedy,1545.382,Playtone,2022-12-28,50000000.0,103842303.0,126.0,7.811,540.0,12,2022,2,6.959701298701299,High
4,758009,Shotgun Wedding,Action,1043.225,Lionsgate,2022-12-28,15000000.0,4495365.0,101.0,6.334,618.0,12,2022,2,6.436595797280594,High
5,536554,M3GAN,Science Fiction,1025.776,Atomic Monster,2022-12-28,12000000.0,167643991.0,102.0,7.423,2113.0,12,2022,2,7.126501445550915,High
6,436270,Black Adam,Action,783.781,New Line Cinema,2022-10-19,200000000.0,392952111.0,125.0,7.137,4391.0,10,2022,2,7.018840103876831,High
7,785084,The Whale,Drama,686.66,A24,2022-12-09,3000000.0,36752010.0,117.0,8.043,1559.0,12,2022,4,7.440030089878858,High
8,653851,Devotion,War,594.786,Black Label Media,2022-11-23,90000000.0,20000000.0,139.0,7.4,346.0,11,2022,2,6.731352154531948,High
9,668482,Roald Dahl's Matilda the Musical,Family,548.57,Working Title Films,2022-11-25,25000000.0,13276499.0,117.0,6.917,496.0,11,2022,4,6.638256684491978,High
10,676547,Prey for the Devil,Horror,527.65,Lionsgate,2022-10-23,15000000.0,37655699.0,93.0,7.209,544.0,10,2022,6,6.7498031088082895,High
11,19995,Avatar,Action,521.164,Dune Entertainment,2009-12-15,237000000.0,2920357254.0,162.0,7.567,28557.0,12,2009,1,7.530900260513584,High
12,661374,Glass Onion: A Knives Out Mystery,Comedy,430.749,T,2022-11-23,40000000.0,13280000.0,140.0,7.095,3584.0,11,2022,2,6.965200698080278,High
13,634649,Spider-Man: No Way Home,Action,412.963,Marvel Studios,2021-12-15,200000000.0,1921847111.0,148.0,8.0,17029.0,12,2021,2,7.9168007099672755,High
14,899112,Violent Night,Action,407.163,87North Productions,2022-11-30,20000000.0,75734910.0,112.0,7.576,1265.0,11,2022,2,7.10094481236203,High
15,724495,The Woman King,Action,398.983,TriStar Pictures,2022-09-16,50000000.0,91000000.0,135.0,7.798,1319.0,9,2022,4,7.238275981026303,High
16,615777,Babylon,Drama,397.966,Paramount,2022-12-22,78000000.0,56351455.0,189.0,7.6,1288.0,12,2022,3,7.119230769230769,High
17,616037,Thor: Love and Thunder,Fantasy,394.087,Marvel Studios,2022-07-06,250000000.0,760928081.0,119.0,6.625,5488.0,7,2022,2,6.605733662145499,High
18,646385,Scream,Horror,386.685,Paramount,2022-01-12,24000000.0,140041405.0,114.0,6.713,2130.0,1,2022,2,6.644948881789137,High
19,361743,Top Gun: Maverick,Action,372.213,Skydance Media,2022-05-24,170000000.0,1488732821.0,131.0,8.303,6246.0,5,2022,1,8.054173060999172,High
20,551271,Medieval,History,368.367,JBJ Film,2022-09-08,23000000.0,4311284.0,126.0,7.209,339.0,9,2022,3,6.679500373412995,High
